trial_id,trial_gene_set
1,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'MYL4')"
2,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'TPM1')"
3,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'UBC')"
4,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'UBB')"
5,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'TIMP1')"
6,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'HSPB1')"
7,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'HSPA8')"
8,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'FTL')"
9,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TNNC1', 'FTH1')"
10,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'TPM1')"
11,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'UBC')"
12,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'UBB')"
13,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'TIMP1')"
14,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'HSPB1')"
15,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'HSPA8')"
16,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'FTL')"
17,"('H19', 'MYL7', 'NPPB', 'MYL9', 'MYL4', 'FTH1')"
18,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'UBC')"
19,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'UBB')"
20,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'TIMP1')"
21,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'HSPB1')"
22,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'HSPA8')"
23,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'FTL')"
24,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TPM1', 'FTH1')"
25,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBC', 'UBB')"
26,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBC', 'TIMP1')"
27,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBC', 'HSPB1')"
28,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBC', 'HSPA8')"
29,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBC', 'FTL')"
30,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBC', 'FTH1')"
31,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBB', 'TIMP1')"
32,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBB', 'HSPB1')"
33,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBB', 'HSPA8')"
34,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBB', 'FTL')"
35,"('H19', 'MYL7', 'NPPB', 'MYL9', 'UBB', 'FTH1')"
36,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TIMP1', 'HSPB1')"
37,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TIMP1', 'HSPA8')"
38,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TIMP1', 'FTL')"
39,"('H19', 'MYL7', 'NPPB', 'MYL9', 'TIMP1', 'FTH1')"
40,"('H19', 'MYL7', 'NPPB', 'MYL9', 'HSPB1', 'HSPA8')"
41,"('H19', 'MYL7', 'NPPB', 'MYL9', 'HSPB1', 'FTL')"
42,"('H19', 'MYL7', 'NPPB', 'MYL9', 'HSPB1', 'FTH1')"
43,"('H19', 'MYL7', 'NPPB', 'MYL9', 'HSPA8', 'FTL')"
44,"('H19', 'MYL7', 'NPPB', 'MYL9', 'HSPA8', 'FTH1')"
45,"('H19', 'MYL7', 'NPPB', 'MYL9', 'FTL', 'FTH1')"
46,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'TPM1')"
47,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'UBC')"
48,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'UBB')"
49,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'TIMP1')"
50,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'HSPB1')"
51,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'HSPA8')"
52,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'FTL')"
53,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'MYL4', 'FTH1')"
54,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'UBC')"
55,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'UBB')"
56,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'TIMP1')"
57,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'HSPB1')"
58,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'HSPA8')"
59,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'FTL')"
60,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TPM1', 'FTH1')"
61,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBC', 'UBB')"
62,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBC', 'TIMP1')"
63,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBC', 'HSPB1')"
64,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBC', 'HSPA8')"
65,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBC', 'FTL')"
66,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBC', 'FTH1')"
67,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBB', 'TIMP1')"
68,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBB', 'HSPB1')"
69,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBB', 'HSPA8')"
70,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBB', 'FTL')"
71,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'UBB', 'FTH1')"
72,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TIMP1', 'HSPB1')"
73,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TIMP1', 'HSPA8')"
74,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TIMP1', 'FTL')"
75,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'TIMP1', 'FTH1')"
76,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'HSPB1', 'HSPA8')"
77,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'HSPB1', 'FTL')"
78,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'HSPB1', 'FTH1')"
79,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'HSPA8', 'FTL')"
80,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'HSPA8', 'FTH1')"
81,"('H19', 'MYL7', 'NPPB', 'TNNC1', 'FTL', 'FTH1')"
82,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'UBC')"
83,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'UBB')"
84,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'TIMP1')"
85,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'HSPB1')"
86,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'HSPA8')"
87,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'FTL')"
88,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TPM1', 'FTH1')"
89,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBC', 'UBB')"
90,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBC', 'TIMP1')"
91,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBC', 'HSPB1')"
92,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBC', 'HSPA8')"
93,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBC', 'FTL')"
94,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBC', 'FTH1')"
95,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBB', 'TIMP1')"
96,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBB', 'HSPB1')"
97,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBB', 'HSPA8')"
98,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBB', 'FTL')"
99,"('H19', 'MYL7', 'NPPB', 'MYL4', 'UBB', 'FTH1')"
100,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TIMP1', 'HSPB1')"
101,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TIMP1', 'HSPA8')"
102,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TIMP1', 'FTL')"
103,"('H19', 'MYL7', 'NPPB', 'MYL4', 'TIMP1', 'FTH1')"
104,"('H19', 'MYL7', 'NPPB', 'MYL4', 'HSPB1', 'HSPA8')"
105,"('H19', 'MYL7', 'NPPB', 'MYL4', 'HSPB1', 'FTL')"
106,"('H19', 'MYL7', 'NPPB', 'MYL4', 'HSPB1', 'FTH1')"
107,"('H19', 'MYL7', 'NPPB', 'MYL4', 'HSPA8', 'FTL')"
108,"('H19', 'MYL7', 'NPPB', 'MYL4', 'HSPA8', 'FTH1')"
109,"('H19', 'MYL7', 'NPPB', 'MYL4', 'FTL', 'FTH1')"
110,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBC', 'UBB')"
111,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBC', 'TIMP1')"
112,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBC', 'HSPB1')"
113,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBC', 'HSPA8')"
114,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBC', 'FTL')"
115,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBC', 'FTH1')"
116,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBB', 'TIMP1')"
117,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBB', 'HSPB1')"
118,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBB', 'HSPA8')"
119,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBB', 'FTL')"
120,"('H19', 'MYL7', 'NPPB', 'TPM1', 'UBB', 'FTH1')"
