,ensembl_gene_id,gene_symbol,glm_coef,description,biotype
0,ensg00000130508,PXDN,7.368839996445595,peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966],protein_coding
1,ensg00000164305,CASP3,7.091153509044404,caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504],protein_coding
2,ensg00000131711,MAP1B,6.188822632752682,microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836],protein_coding
3,ensg00000188157,AGRN,3.3694828657591973,agrin [Source:HGNC Symbol;Acc:HGNC:329],protein_coding
4,ensg00000128591,FLNC,2.366917174182511,filamin C [Source:HGNC Symbol;Acc:HGNC:3756],protein_coding
5,ensg00000105974,CAV1,1.341261196606292,caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527],protein_coding
6,ensg00000154553,PDLIM3,1.0917241571751155,PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767],protein_coding
7,ensg00000117394,SLC2A1,0.106000630713875,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005],protein_coding
8,ensg00000106366,SERPINE1,-0.6368390406841237,serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583],protein_coding
9,ensg00000196569,LAMA2,-1.7578888098912357,laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482],protein_coding
10,ensg00000058262,SEC61A1,-2.3524521738225097,SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276],protein_coding
11,ensg00000138760,SCARB2,-3.251159970853391,scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665],protein_coding
12,ensg00000143799,PARP1,-3.5745122115826407,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270],protein_coding
13,ensg00000075624,ACTB,-3.687473600649133,actin beta [Source:HGNC Symbol;Acc:HGNC:132],protein_coding
14,ensg00000115414,FN1,-4.567742903293629,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778],protein_coding
15,ensg00000074800,ENO1,-5.359137576893143,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],protein_coding
16,ensg00000177606,JUN,-6.613095891489336,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]",protein_coding
