,0,1,2,3
0,"['ensg00000131236', 'ensg00000168374', 'ensg00000105835', 'ensg00000114850', 'ensg00000055208', 'ensg00000164442', 'ensg00000143384', 'ensg00000135631', 'ensg00000105971', 'ensg00000138829']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1494, 0.1494, 0.1494, 0.1494, 0.1494, 0.1494, 0.1494, 0.1494]","[0, 0.02238, 0.06905, 0.2444, 0.2519, 0.2518, 0.2579, 0.2807, 0.308, 0.3508, 0.4429, 0.4429, 0.4429, 0.4429, 0.4429, 0.4429, 0.4429, 0.4429]","[0, 0.01696, 0.03922, 0.2855, 0.5795, 0.6075, 0.5901, 0.6322, 0.6305, 0.6434, 0.6946, 0.6946, 0.6946, 0.6946, 0.6946, 0.6946, 0.6946, 0.6946]"
1,"['ensg00000113742', 'ensg00000162734', 'ensg00000213719', 'ensg00000164442', 'ensg00000085998', 'ensg00000117298', 'ensg00000151414', 'ensg00000143549', 'ensg00000162909', 'ensg00000034510']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04066, 0.1139, 0.1139, 0.1139, 0.1139, 0.1139, 0.1139, 0.1139, 0.1139]","[0, 0.03447, 0.07024, 0.0765, 0.1119, 0.2018, 0.2325, 0.2464, 0.268, 0.3144, 0.3494, 0.3494, 0.3494, 0.3494, 0.3494, 0.3494, 0.3494, 0.3494]","[0, 0.104, 0.1114, 0.5814, 0.5649, 0.7193, 0.7007, 0.6921, 0.7654, 0.8092, 0.8012, 0.8012, 0.8012, 0.8012, 0.8012, 0.8012, 0.8012, 0.8012]"
2,"['ensg00000113742', 'ensg00000204525', 'ensg00000114850', 'ensg00000234745', 'ensg00000155380', 'ensg00000163681', 'ensg00000146112', 'ensg00000128595', 'ensg00000094975', 'ensg00000115762']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03213, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296]","[0, 0.03447, 0.2004, 0.1968, 0.2195, 0.2231, 0.2567, 0.2749, 0.3121, 0.3306, 0.3634, 0.3634, 0.3634, 0.3634, 0.3634, 0.3634, 0.3634, 0.3634]","[0, 0.104, 0.1166, 0.3046, 0.3456, 0.3428, 0.5217, 0.5838, 0.8537, 0.8697, 0.8583, 0.8583, 0.8583, 0.8583, 0.8583, 0.8583, 0.8583, 0.8583]"
3,"['ensg00000115091', 'ensg00000143198', 'ensg00000105971', 'ensg00000061938', 'ensg00000131711', 'ensg00000106366', 'ensg00000133657', 'ensg00000122786', 'ensg00000092820', 'ensg00000142669']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03965, 0.03965, 0.03965, 0.03965, 0.03965, 0.03965, 0.03965, 0.03965]","[0, 0.01131, 0.1639, 0.1692, 0.1739, 0.1921, 0.2176, 0.2705, 0.3069, 0.3346, 0.3598, 0.3598, 0.3598, 0.3598, 0.3598, 0.3598, 0.3598, 0.3598]","[0, 0.07333, 0.2847, 0.3001, 0.3015, 0.3085, 0.3725, 0.3949, 0.4285, 0.443, 0.4605, 0.4605, 0.4605, 0.4605, 0.4605, 0.4605, 0.4605, 0.4605]"
4,"['ensg00000135631', 'ensg00000138760', 'ensg00000106066', 'ensg00000061938', 'ensg00000213626', 'ensg00000120708', 'ensg00000094975', 'ensg00000069275', 'ensg00000130508', 'ensg00000133657']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06645, 0.1668, 0.1668, 0.1668, 0.1668, 0.1668, 0.1668, 0.1668, 0.1668]","[0, 0.01717, 0.06639, 0.2253, 0.2272, 0.2549, 0.2606, 0.2736, 0.2912, 0.3127, 0.3524, 0.3524, 0.3524, 0.3524, 0.3524, 0.3524, 0.3524, 0.3524]","[0, 0.04776, 0.1759, 0.1737, 0.1757, 0.3007, 0.328, 0.5908, 0.5779, 0.5826, 0.9691, 0.9691, 0.9691, 0.9691, 0.9691, 0.9691, 0.9691, 0.9691]"
5,"['ensg00000162734', 'ensg00000143324', 'ensg00000137177', 'ensg00000055208', 'ensg00000122786', 'ensg00000164305', 'ensg00000106397', 'ensg00000169756', 'ensg00000213719', 'ensg00000113742']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09929, 0.1796, 0.1796, 0.1796, 0.1796, 0.1796, 0.1796, 0.1796, 0.1796]","[0, 0.04343, 0.2272, 0.2444, 0.2447, 0.2456, 0.2507, 0.2645, 0.2864, 0.3129, 0.3429, 0.3429, 0.3429, 0.3429, 0.3429, 0.3429, 0.3429, 0.3429]","[0, 0.01794, 0.1809, 0.27, 0.3063, 0.3123, 0.3133, 0.5763, 0.5839, 0.8136, 0.7951, 0.7951, 0.7951, 0.7951, 0.7951, 0.7951, 0.7951, 0.7951]"
6,"['ensg00000154553', 'ensg00000106366', 'ensg00000168374', 'ensg00000116260', 'ensg00000162909', 'ensg00000143324', 'ensg00000116133', 'ensg00000164442', 'ensg00000105974', 'ensg00000092820']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084]","[0, 0.2579, 0.2521, 0.2464, 0.2527, 0.2529, 0.2588, 0.269, 0.284, 0.3102, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529]","[0, 0.1032, 0.1315, 0.1342, 0.4546, 0.6077, 0.6017, 0.5887, 0.595, 0.585, 0.6079, 0.6079, 0.6079, 0.6079, 0.6079, 0.6079, 0.6079, 0.6079]"
7,"['ensg00000003756', 'ensg00000114480', 'ensg00000072682', 'ensg00000074800', 'ensg00000063660', 'ensg00000038382', 'ensg00000143549', 'ensg00000128591', 'ensg00000169756', 'ensg00000083444']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04419, 0.04419, 0.04419, 0.04419, 0.04419, 0.04419, 0.04419, 0.04419]","[0, 0.1518, 0.1811, 0.1827, 0.201, 0.2079, 0.2174, 0.2675, 0.2833, 0.3172, 0.3594, 0.3594, 0.3594, 0.3594, 0.3594, 0.3594, 0.3594, 0.3594]","[0, 0.1013, 0.1174, 0.1413, 0.6112, 0.6754, 0.7825, 0.7624, 0.7435, 0.7337, 0.8106, 0.8106, 0.8106, 0.8106, 0.8106, 0.8106, 0.8106, 0.8106]"
8,"['ensg00000164442', 'ensg00000134250', 'ensg00000151729', 'ensg00000176087', 'ensg00000063660', 'ensg00000131711', 'ensg00000164292', 'ensg00000135074', 'ensg00000122786', 'ensg00000163171']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07623, 0.07623, 0.07623, 0.07623, 0.07623, 0.07623, 0.07623, 0.07623]","[0, 0.04443, 0.05694, 0.1771, 0.1785, 0.2189, 0.2597, 0.277, 0.2965, 0.3166, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444]","[0, 0.006573, 0.02328, 0.05694, 0.08149, 0.2611, 0.3246, 0.3429, 0.5976, 0.6033, 0.6073, 0.6073, 0.6073, 0.6073, 0.6073, 0.6073, 0.6073, 0.6073]"
9,"['ensg00000113648', 'ensg00000137267', 'ensg00000131236', 'ensg00000145730', 'ensg00000069275', 'ensg00000058668', 'ensg00000130508', 'ensg00000106397', 'ensg00000145817', 'ensg00000213190']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07858, 0.07858, 0.07858, 0.07858, 0.07858, 0.07858, 0.07858, 0.07858]","[0, 0.02584, 0.03283, 0.04937, 0.2084, 0.2292, 0.2449, 0.268, 0.2863, 0.308, 0.3467, 0.3467, 0.3467, 0.3467, 0.3467, 0.3467, 0.3467, 0.3467]","[0, 0.01472, 0.2034, 0.2081, 0.3875, 0.5105, 0.7519, 0.7428, 0.7769, 0.8636, 0.8593, 0.8593, 0.8593, 0.8593, 0.8593, 0.8593, 0.8593, 0.8593]"
